Symbol_HGNC	GenePanel
A2M	HEMOS (AD)
A2ML1	TUMOR (AD)
A4GALT	OMIM (UK,AD,AR,XL,YL)
AAAS	DERM (AR);MR (AR);OMIM (AR);PCS (AR)
AAGAB	DERM (AD);OMIM (AD)
AARS1	EPI (AR,AD);HMSN (AD);MR (AR);OMIM (AD,AR);PCS (AR)
AARS2	BEWEGING (AR);HART (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
AASS	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ABAT	EPI (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ABCA1	HMSN (AR);OMIM (AR);PCS (AR)
ABCA12	DERM (AR);OMIM (AR);PCS (AR)
ABCA3	OMIM (AR);PCS (AR)
ABCA4	BLIND (AR);OMIM (AR);PCS (AR)
ABCA5	OMIM (AR)
ABCB10	IJZER (AR,AD)
ABCB11	LEVER (AR);OMIM (AR);PCS (AR)
ABCB4	LEVER (AR);OMIM (AD,AR);PCS (AR)
ABCB6	DERM (AD);OMIM (AD)
ABCB7	BEWEGING (XL);BMF (XL);IJZER (XL);OMIM (XLR)
ABCC2	LEVER (AR);OMIM (AR);PCS (AR)
ABCC6	ANEURYSM (AD);BLIND (AR,AD);DERM (AD/AR);HART (AD/AR);OMIM (AD,AR);PCS (AR)
ABCC8	EPI (AD);METAB (AR,AD);MR (AD);OMIM (AD,AR);PCS (AD,AR)
ABCC9	DERM (AD);HART (AD);LENGTE (AD);MR (AD);OMIM (AD)
ABCD1	BEWEGING (XL);HMSN (XL);METAB (XL);MR (XL);OMIM (XLR)
ABCD2	METAB (AR)
ABCD3	LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)
ABCD4	BMF (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ABCG5	HEMOS (AR);METAB (AR);OMIM (AR);PCS (AR)
ABCG8	HEMOS (AR);METAB (AR);OMIM (AR);PCS (AR)
ABHD12	BEWEGING (AR);BLIND (AR);HMSN (AR);METAB (AR);OMIM (AR);PCS (AR)
ABHD5	DERM (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ABL1	ANEURYSM (AD);HART (AD);OMIM (UK,AD,AR,XL,YL)
ACACA	METAB (AR);PCS (AR)
ACAD8	HART (AR);METAB (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
ACAD9	HART (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ACADM	METAB (AR);OMIM (AR);PCS (AR)
ACADS	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ACADSB	METAB (AR);OMIM (AR);PCS (AR)
ACADVL	HART (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)
ACAN	LENGTE (AD,AR);OMIM (AD,AR);PCS (AR)
ACAT1	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ACAT2	METAB (AR)
ACBD5	BLIND (AR);BMF (AD);HEMOS (AD);METAB (AR)
ACD	BMF (AD,AR);DERM (AD);DKC (AD,AR);IMMUUN (AD,AR);OMIM (AD,AR);PCS (AR);TUMOR (AD,AR)
ACE	ANEURYSM (AD);NIER (AR);OMIM (AR);PCS (AR)
ACER3	OMIM (AR);PCS (AR)
ACO2	BLIND (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ACOX1	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ACOX2	LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)
ACP4	CFA (AR);OMIM (AR)
ACP5	IMMUUN (AD,AR);LENGTE (AR);OMIM (AR);PCS (AR)
ACSF3	HART (AR);METAB (AR);MR (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
ACSL4	METAB (XL);MR (XL);OMIM (XLD)
ACSL6	OMIM (UK,AD,AR,XL,YL)
ACTA1	AKI (AD,AR);OMIM (AD,AR);PCS (AR);SPIER (AD)
ACTA2	ANEURYSM (AD);DERM (AD);HART (AD);OMIM (AD)
ACTB	BEWEGING (AD);DERM (AD);DOOF (AD);EPI (AD);HEMOS (AD);IMMUUN (AD);LENGTE (AD);MR (AD);OMIM (AD)
ACTC1	CHD (AD);HART (AD);OMIM (AD)
ACTG1	DOOF (AD);MR (AD);OMIM (AD)
ACTG2	OMIM (AD)
ACTL6A	MR (AD)
ACTL6B	EPI (AD);MR (AD,AR);OMIM (AD);PCS (AR)
ACTN1	HEMOS (AD);OMIM (AD)
ACTN2	HART (AD);OMIM (AD)
ACTN4	NIER (AD);OMIM (AD)
ACVR1	IJZER (-);LENGTE (AD);MR (AD);OMIM (AD);SPIER (AD)
ACVR1B	OMIM (UK,AD,AR,XL,YL)
ACVR2B	CHD (AD);CILIO (AD);HART (AD);OMIM (UK,AD,AR,XL,YL)
ACVRL1	ANEURYSM (AD);DERM (AD);HEMOS (AD);OMIM (AD)
ACY1	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ADA	IMMUUN (AR);METAB (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR);SCID (AR)
ADA2	ANEURYSM (AD);DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR)
ADAM10	DERM (AD);OMIM (AD)
ADAM17	DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR)
